# magnetic_field mean_pressure std_pressure
0.000000000000000000e+00 9.188524068052263960e-01 4.374577809711672344e-02
2.500000000000000000e+01 9.950137505226269719e-01 2.638010872213271754e-02
5.000000000000000000e+01 9.632701856430797571e-01 4.236942494174821688e-02
7.500000000000000000e+01 9.026472299410981392e-01 2.520361978181617085e-02
1.000000000000000000e+02 9.014972114991939289e-01 2.542564268635360072e-02
1.250000000000000000e+02 9.703764685487502595e-01 3.732888404873345445e-02
1.500000000000000000e+02 9.588924543931719446e-01 3.526401696097981875e-02
1.750000000000000000e+02 9.683009706636609426e-01 2.949614558480517790e-02
2.000000000000000000e+02 9.637442304735042153e-01 2.802712448455778327e-02
