# magnetic_field mean_pressure std_pressure
0.000000000000000000e+00 9.492583540292696132e-01 4.920457469954782337e-02
2.500000000000000000e+01 9.809869080674575859e-01 5.785351820705229159e-02
5.000000000000000000e+01 1.069049048512158206e+00 6.625796724425080109e-02
7.500000000000000000e+01 1.076117289861862947e+00 3.482420400346986078e-02
1.000000000000000000e+02 1.085395728398515391e+00 8.721635018415253848e-02
1.250000000000000000e+02 1.053254454065528645e+00 6.197110411060692547e-02
1.500000000000000000e+02 1.023239048793471051e+00 8.244077531333927900e-02
1.750000000000000000e+02 1.004934461878952856e+00 5.228688313075979116e-02
2.000000000000000000e+02 9.813979503499148382e-01 4.448267242691936185e-02
