# magnetic_field peak_positions
0.000000000000000000e+00 1.244912656571521836e+00
2.500000000000000000e+01 1.102636924391919404e+00
5.000000000000000000e+01 1.102636924391919404e+00
7.500000000000000000e+01 1.173774790481720842e+00
1.000000000000000000e+02 1.173774790481720842e+00
1.250000000000000000e+02 1.102636924391919404e+00
1.500000000000000000e+02 1.173774790481720842e+00
1.750000000000000000e+02 1.102636924391919404e+00
2.000000000000000000e+02 1.102636924391919404e+00
