# r_bins corr_mean corr_std corr_sem
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 2.621771652130541752e-02 3.211001384906734396e-02 1.436003474499484948e-02
9.635020205097903911e-01 1.191778839164802983e+00 2.131918798814630700e-01 9.534230713318424255e-02
1.008316067975361996e+00 7.987366518686116024e+00 2.761534589001065632e-01 1.234995812644665153e-01
1.053130115440933601e+00 1.359667513507572245e+01 4.933613134330681604e-01 2.206378868609840949e-01
1.097944162906505206e+00 7.204603385207585475e+00 3.030077035934551910e-01 1.355091645882146034e-01
1.142758210372077032e+00 1.923171817419332852e+00 2.646775694046195060e-01 1.183674074616295480e-01
1.187572257837648637e+00 2.039643143966134997e-01 1.034797726942053714e-01 4.627756120809395357e-02
1.232386305303220242e+00 2.185387511023855270e-02 1.784361430753131014e-02 7.979906911185569857e-03
1.277200352768791847e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.322014400234363674e+00 6.330362176431256205e-02 4.476242022321372249e-02 2.001836289130343866e-02
1.366828447699935278e+00 2.191162744525171624e-01 1.193262322468753717e-01 5.336431336058816005e-02
1.411642495165506883e+00 9.827085815822182990e-01 1.332486212314872021e-01 5.959059499634541957e-02
1.456456542631078488e+00 2.101894500987302905e+00 2.265044360638369669e-01 1.012958632487988703e-01
1.501270590096650093e+00 2.361174324814349301e+00 2.999646881211907590e-01 1.341482866977012356e-01
1.546084637562221697e+00 1.592182485452232399e+00 2.014301086483167857e-01 9.008228313056092229e-02
1.590898685027793524e+00 6.163607803606755420e-01 1.028894311330482980e-01 4.601355243595584010e-02
1.635712732493365129e+00 9.924259291945447536e-02 1.547215753665317009e-02 6.919359202108435816e-03
1.680526779958936734e+00 1.214427933903774876e-01 1.465797822450217586e-02 6.555247144539707617e-03
1.725340827424508339e+00 8.919949024587164876e-01 1.024608435175576038e-01 4.582188222744549427e-02
1.770154874890080166e+00 4.124024544116585034e+00 1.665869506410643797e-01 7.449994915956442698e-02
1.814968922355651770e+00 7.217702193568332980e+00 1.707295902518893016e-01 7.635259391478198265e-02
1.859782969821223375e+00 6.051980617333346579e+00 2.115997026324326069e-01 9.463026382097210198e-02
1.904597017286794980e+00 2.531470216056813882e+00 8.069446557895512684e-02 3.608766208851211382e-02
1.949411064752366585e+00 4.774610226885693254e-01 6.727670367716478972e-02 3.008705654485010692e-02
1.994225112217938189e+00 2.587232847446812589e-01 3.361468111838045170e-02 1.503294240453546815e-02
2.039039159683509794e+00 1.104327515457703246e+00 1.013290095456419737e-01 4.531571068735610469e-02
2.083853207149081399e+00 2.438252183431893982e+00 8.000279161011376872e-02 3.577833608599284565e-02
2.128667254614653004e+00 2.492935904888256449e+00 1.420366915411174769e-01 6.352073951702159882e-02
2.173481302080224609e+00 1.341972865534922121e+00 6.439468310880185065e-02 2.879817776416768171e-02
2.218295349545796658e+00 6.003070632133427065e-01 1.251015434694823236e-01 5.594711105758146813e-02
