# simulation_index pressure
0.000000000000000000e+00 1.073385557212491515e+00
1.000000000000000000e+00 7.338621660349503584e-01
2.000000000000000000e+00 7.984498056042482750e-01
3.000000000000000000e+00 9.881416309451397373e-01
4.000000000000000000e+00 9.283818053659488312e-01
5.000000000000000000e+00 1.305675335333761788e+00
6.000000000000000000e+00 1.316114783893312934e+00
7.000000000000000000e+00 9.725366796318096752e-01
8.000000000000000000e+00 9.251251820831609685e-01
9.000000000000000000e+00 8.206428179753686436e-01
