# simulation_index pressure
0.000000000000000000e+00 8.989030920894527377e-01
1.000000000000000000e+00 9.029922491749001745e-01
2.000000000000000000e+00 9.653185538251245479e-01
3.000000000000000000e+00 1.039191900305287852e+00
4.000000000000000000e+00 7.033097082665223931e-01
5.000000000000000000e+00 9.527866773042755755e-01
6.000000000000000000e+00 9.306685000428801535e-01
7.000000000000000000e+00 1.053493522651373970e+00
8.000000000000000000e+00 9.142987631395842474e-01
9.000000000000000000e+00 9.237084946366597160e-01
