# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.490366504055667285e-01 5.794709032152367545e-01 1.641518579474293693e-01
1.000335928805867525e+00 2.846858763744175569e+00 3.637138124893404267e-01
1.051635207206168321e+00 4.968257280787377717e+00 4.529674876722080135e-01
1.102934485606469339e+00 5.243826892325132327e+00 4.297019713621647030e-01
1.154233764006770357e+00 4.526899825304392166e+00 5.274108524564253830e-01
1.205533042407071154e+00 3.406650446535845589e+00 2.474358804144749790e-01
1.256832320807371950e+00 2.588150515450367450e+00 3.052235115622093375e-01
1.308131599207672968e+00 2.134974881011770798e+00 2.960397718936036981e-01
1.359430877607973986e+00 1.816066876262154350e+00 2.517979288506950741e-01
1.410730156008274783e+00 1.588048258010667624e+00 1.646712007127552335e-01
1.462029434408575579e+00 1.468387809903981323e+00 1.554411140923603052e-01
1.513328712808876597e+00 1.345201962491642034e+00 1.299267319538916499e-01
1.564627991209177615e+00 1.341346923337706221e+00 1.297796497867239329e-01
1.615927269609478412e+00 1.374126406449712068e+00 1.491057512787322403e-01
1.667226548009779208e+00 1.363884397042629093e+00 1.624604655959348554e-01
1.718525826410080004e+00 1.440758137906469338e+00 1.776888022488581076e-01
1.769825104810381022e+00 1.596810922909942310e+00 1.437798599750159112e-01
1.821124383210682041e+00 1.853453694134230556e+00 1.756174427450488129e-01
1.872423661610982837e+00 2.077891789251077981e+00 1.981510808176941696e-01
1.923722940011283633e+00 2.232980394597263718e+00 1.434043923276742127e-01
1.975022218411584651e+00 2.285736937550460368e+00 2.064328055630689496e-01
2.026321496811885225e+00 2.498071374111717091e+00 2.048573647628805783e-01
2.077620775212186466e+00 2.424932984530635771e+00 1.775951604607139134e-01
2.128920053612487706e+00 2.512595546995423756e+00 1.163143195109135469e-01
2.180219332012788058e+00 2.409471651427570471e+00 1.553686566631345689e-01
2.231518610413089299e+00 2.179143752941427259e+00 1.800627952746022831e-01
2.282817888813390095e+00 2.150463431264930669e+00 1.188784008774625284e-01
2.334117167213690891e+00 2.106205369842824471e+00 1.411914115442129136e-01
2.385416445613992131e+00 1.914677655014699553e+00 1.085512694666782574e-01
2.436715724014292483e+00 1.838570750617881000e+00 1.009974422175314440e-01
2.488015002414593724e+00 1.750653956347912210e+00 9.044078868421107087e-02
2.539314280814894520e+00 1.693000818725269863e+00 1.780453322089497192e-01
