# r_bins corr_mean corr_std corr_sem
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.490366504055667285e-01 5.311816612806337101e-01 8.207592897371465690e-02 3.670547130033410127e-02
1.000335928805867525e+00 2.970005326043541949e+00 3.107293545453837513e-01 1.389623918736222485e-01
1.051635207206168321e+00 4.889604131223461714e+00 3.173318588326097811e-01 1.419151215552164891e-01
1.102934485606469339e+00 5.184237950366891390e+00 1.958292461303651755e-01 8.757750126600682972e-02
1.154233764006770357e+00 4.113384937416010523e+00 1.671720064623269941e-01 7.476159407695945336e-02
1.205533042407071154e+00 3.611149228831556091e+00 4.831710102045816413e-01 2.160806447149378196e-01
1.256832320807371950e+00 2.762529450888512539e+00 4.328204901581861885e-01 1.935632076096965859e-01
1.308131599207672968e+00 2.075670023205888448e+00 1.836712399529412398e-01 8.214027560929036686e-02
1.359430877607973986e+00 2.000419237351401147e+00 2.706165310282706571e-01 1.210233918428788441e-01
1.410730156008274783e+00 1.682748383488367860e+00 2.052662051318616399e-01 9.179783763165175192e-02
1.462029434408575579e+00 1.471779005769810134e+00 2.306013188763758326e-01 1.031280449417363576e-01
1.513328712808876597e+00 1.380018954462014058e+00 9.085778980729737608e-02 4.063283885890088543e-02
1.564627991209177615e+00 1.255477031998206261e+00 1.069256037452094438e-01 4.781858370189888408e-02
1.615927269609478412e+00 1.288070005237709870e+00 1.344003161243680078e-01 6.010564861030958522e-02
1.667226548009779208e+00 1.470804588780196598e+00 2.438545967664231540e-01 1.090550909991045148e-01
1.718525826410080004e+00 1.477574785382784528e+00 2.524141522712786689e-01 1.128830405923123975e-01
1.769825104810381022e+00 1.629209985113912129e+00 1.071560742504315128e-01 4.792165324519593456e-02
1.821124383210682041e+00 1.905909930760670834e+00 1.772420605316941677e-01 7.926505916420013842e-02
1.872423661610982837e+00 1.997257182504021289e+00 2.053446522134029784e-01 9.183292023304433227e-02
1.923722940011283633e+00 2.037104921386977185e+00 1.168705418739293123e-01 5.226609523946831870e-02
1.975022218411584651e+00 2.434402754626912913e+00 1.902399733520211689e-01 8.507790249057356480e-02
2.026321496811885225e+00 2.390380664697713708e+00 8.400141738771466082e-02 3.756657589705255512e-02
2.077620775212186466e+00 2.435008883358324994e+00 1.513249580968972496e-01 6.767457859939389475e-02
2.128920053612487706e+00 2.587765496523612541e+00 1.119095386306771384e-01 5.004746714176656203e-02
2.180219332012788058e+00 2.189874235094930732e+00 7.988344534114512341e-02 3.572496281193787010e-02
2.231518610413089299e+00 2.244649076176139513e+00 1.927655175311970281e-01 8.620736018353679364e-02
2.282817888813390095e+00 2.144899489657517755e+00 1.210716762119220802e-01 5.414489963194039912e-02
2.334117167213690891e+00 1.955857165931112807e+00 1.064412063091762645e-01 4.760195458287952430e-02
2.385416445613992131e+00 1.864995400493359767e+00 8.957275238613995882e-02 4.005815265343308507e-02
2.436715724014292483e+00 1.955770479740932988e+00 1.535336953872233345e-01 6.866235594451544633e-02
2.488015002414593724e+00 1.974316100603732194e+00 1.179407098117731256e-01 5.274468889074022254e-02
2.539314280814894520e+00 1.733470957818304514e+00 2.254403408437570533e-01 1.008199853994726086e-01
